,Capa do livro,Título,Páginas,Horas,Gênero,Faixa etária,Formato,Editora,Idioma,Série ou único?,Por que li?,Origem do livro?,Como conheci?,Nome,País,Cor,Se identifica como...,Primeira vez lendo autore,Protagonista LGBTQ+,Diversidade etnica/racial,#OwnVoices?,NOTA,LIDO
,https://m.media-amazon.com/images/I/51y5SPHdyaL._SY445_SX342_ML2_.jpg,Hereges de Duna,568,0:00:00,Ficção Científica,Adulto,Capa dura,Aleph,Português,Série,Diversão,Estava na estante,Booktube,Frank Herbert,EUA,Branco,Masculino,FALSE,FALSE,TRUE,FALSE,4,LIDO
,https://m.media-amazon.com/images/I/5183t4as2JL._SY445_SX342_ML2_.jpg,Palavras de Radiância,1328,0:00:00,Fantasia Épica,Adulto,Brochura,Trama,Português,Série,Diversão,Estava na estante,Booktube,Brandon Sanderson,EUA,Branco,Masculino,FALSE,FALSE,TRUE,FALSE,5,LIDO
,https://m.media-amazon.com/images/I/51y+Ul4umeL._SY385_.jpg,Diário dos Gatos: Yon & Mu,116,0:00:00,Mangá,Adulto,Brochura,JBC,Português,Livro único,Desafio LPM,Comprei esse ano,Booktube,Junji Ito,Japão,Asiático,Masculino,TRUE,FALSE,FALSE,FALSE,5,LIDO
,,"Impostora",352,0:00:00,Ficção,Adulto,Brochura,Intrínseca,Português,Livro único,Diversão,Estava na estante,Booktube,R.F. Kuang,China,Asiático,Feminino,TRUE,FALSE,TRUE,TRUE,,NÃO LIDO
,https://m.media-amazon.com/images/I/81cp3Fo+HWL._SY425_.jpg,Sou uma tola por te querer ,,02:45:00,Conto,Adulto,Audiolivro,Tusquets,Português,Livro único,Desafio LPM,Assinatura digital,Outro,Camila Sosa Villada,Argentina,Branco,F. Trans,TRUE,TRUE,TRUE,TRUE,"3,5",LIDO
,,Cem anos de solidão,448,0:00:00,Fantasia,Adulto,Brochura,Record,Português,Livro único,Desafio LPM,Estava na estante,Booktube,Gabriel García Márquez,Colômbia,Branco,Masculino,TRUE,FALSE,FALSE,FALSE,,NÃO LIDO
,https://m.media-amazon.com/images/I/511sWf6XzBL._SY445_SX342_ML2_.jpg,Warbreaker - O sopro dos deuses,708,0:00:00,Fantasia Épica,Adulto,Brochura,Trama,Português,Série,Diversão,Estava na estante,Booktube,Brandon Sanderson,EUA,Branco,Masculino,FALSE,FALSE,TRUE,FALSE,5,LIDO
,https://m.media-amazon.com/images/I/61zLkd00iuL._SY425_.jpg,2001: Uma Odisseia no Espaço,,4:30:00,Ficção Científica,Adulto,Audiolivro,Storytel,Português,Livro único,Diversão,Assinatura digital,Booktube,Arthur Clarke,Reino Unido,Branco,Masculino,FALSE,FALSE,FALSE,FALSE,4,LIDO
,https://m.media-amazon.com/images/I/41vL4jgpO7L._SY445_SX342_ML2_.jpg,O livro dos abraços,,4:03:00,Ficção,Adulto,Audiolivro,L&PM Pocket,Português,Livro único,Desafio LPM,Assinatura digital,Outro,Eduardo Galeano,Uruguai,Branco,Masculino,TRUE,FALSE,FALSE,FALSE,"2,5",LIDO
,https://m.media-amazon.com/images/I/61EKKftXl1L._SY342_.jpg,Razão e Sensibilidade ,,6:07:00,Clássico,Adulto,Audiolivro,,Português,Livro único,Diversão,Assinatura digital,Já conhecia autore,Jane Austen,Reino Unido,Branco,Feminino,FALSE,FALSE,FALSE,FALSE,"3,5",LIDO
,https://m.media-amazon.com/images/I/41+WFnfYX9L._SY445_SX342_ML2_.jpg,O alforje,,4:20:00,Ficção,Adulto,Audiolivro,TAG ,Português,Livro único,Diversão,Assinatura digital,Outro, Bahiyyih Nakhjavani,Irã,Branco,Feminino,TRUE,FALSE,TRUE,FALSE,4,LIDO
,https://m.media-amazon.com/images/I/81TmOZIXvzL._SY466_.jpg,O Pequeno Príncipe,,0:58:00,Clássico,Infantil,Audiolivro,Agir,Português,Livro único,Diversão,Assinatura digital,Booktube,Antoine de Saint-Exupéry,França,Branco,Masculino,TRUE,FALSE,FALSE,FALSE,,LIDO
,https://m.media-amazon.com/images/I/51o5mcX5+UL._SY445_SX342_ML2_.jpg,Uma Chama Entre as Cinzas ,434,,Fantasia,Jovem adulto (YA),Brochura,Verus,Português,Série,Diversão,Estava na estante,Booktube,Sabaa Tahir,Reino Unido,Negro,Feminino,TRUE,FALSE,TRUE,FALSE,4,LIDO
,https://m.media-amazon.com/images/I/81mN24O4loL._SY425_.jpg,Uma tocha na escuridão,434,,Fantasia,Jovem adulto (YA),Brochura,Verus,Português,Série,Diversão,Estava na estante,Booktube,Sabaa Tahir,Reino Unido,Negro,Feminino,FALSE,FALSE,TRUE,FALSE,"3,5",LIDO
,https://m.media-amazon.com/images/I/81XsdXknm2L._SY425_.jpg,Um assassino nos portões,434,,Fantasia,Jovem adulto (YA),Brochura,Verus,Português,Série,Diversão,Estava na estante,Booktube,Sabaa Tahir,Reino Unido,Negro,Feminino,FALSE,FALSE,TRUE,FALSE,"4,5",LIDO
,https://m.media-amazon.com/images/I/41r5UoYgCPS._SY445_SX342_ML2_.jpg,Um céu além da tempestade ,490,,Fantasia,Jovem adulto (YA),Brochura,Verus,Português,Série,Diversão,Estava na estante,Booktube,Sabaa Tahir,Reino Unido,Negro,Feminino,FALSE,FALSE,TRUE,FALSE,,LENDO
