,Título,Páginas,Horas,Gênero,Faixa etária,Formato,Editora,Idioma,Série ou único?,Por que li?,Origem do livro?,Como conheci?,Nome,País,Cor,Se identifica como...,Primeira vez lendo autore,Protagonista LGBTQ+,Diversidade etnica/racial,#OwnVoices?,NOTA,Ano
,24 horas na vida de uma mulher,107,0:00:00,Romance,Adulto,Paperback,L&PM,Português,Livro único,Desafio LPM,Comprei esse ano,Booktube, Stefan Zweig,Áustria,Branco,Masculino,TRUE,FALSE,FALSE,FALSE,3,2024
,Vidas Secas,96,0:00:00,Clássico,Adulto,Brochura,,Português,Livro único,Desafio LPM,Comprei esse ano,Booktube,Graciliano Ramos,Brasil,Branco,Masculino,TRUE,FALSE,FALSE,FALSE,3,2024
,Rugido,336,0:00:00,Romance,Adulto,Brochura,,Português,Livro único,Desafio LPM,Comprei esse ano,Outro,Cecelia Ahern,Irlanda,Branco,Feminino,TRUE,FALSE,FALSE,FALSE,"2,5",2024
,A insustentável leveza do ser,312,0:00:00,Romance,Adulto,Paperback,Companhia de Bolso,Português,Livro único,Desafio LPM,Comprei esse ano,Booktube,Milan Kundera,República Tcheca,Negro,Masculino,TRUE,FALSE,FALSE,FALSE,2,2024
,Os afetos,128,0:00:00,Romance,Adulto,Brochura,Intrínseca,Português,Livro único,Desafio LPM,Comprei esse ano,Booktube,Rodrigo Hasbún,Bolívia,Branco,Masculino,TRUE,FALSE,TRUE,FALSE,"3,5",2024
,O Priorado da Laranjeira,544,0:00:00,Fantasia,Jovem adulto (YA),Brochura,Plataforma21,Português,Duologia,Desafio LPM,Ganhei de presente,Booktube,Samantha Shannon,Reino Unido,Branco,Feminino,TRUE,TRUE,TRUE,FALSE,3,2024
,Tudo Sobre o Amor,276,0:00:00,Não ficção,Adulto,Paperback,Elefante,Português,Livro único,Desafio LPM,Comprei esse ano,Booktube,Bell Hooks,Estados Unidos da América,Negro,Feminino,TRUE,FALSE,FALSE,TRUE,"4,5",2024
,Cartas para a minha mãe,112,0:00:00,Romance,Adulto,Paperback,Pallas,Português,Livro único,Desafio LPM,Comprei esse ano,Booktube,Teresa Cárdenas,Cuba,Negro,Feminino,TRUE,FALSE,TRUE,FALSE,"3,5",2024
,O último homem branco,134,0:00:00,Romance,Adulto,Brochura,Companhia das letras,Português,Livro único,Desafio LPM,Estava na estante,Outro,Mohsin Hamid,Paquistão,Branco,Masculino,TRUE,FALSE,TRUE,FALSE,"3,5",2025
,As lágrimas da girafa,232,0:00:00,Investigação,Adulto,Brochura,Companhia das letras,Português,Duologia,Desafio LPM,Estava na estante,Outro,Alexander McCall Smith,Zimbábue,Branco,Masculino,TRUE,FALSE,TRUE,FALSE,"3,5",2025
